region_in_Russian,region_in_English,poverty_level_2022,entrepreneurship_income_2023,social_transfers_income_2023,mean_salary_2022,median_income_2022,Gini_coeff_2022,decile_coeff_2022,GRP_pc_2022,unemployment_2022,men_working_age_total_2022,relative_cost_of_living_2022,men_higher_educ_2020,population_2022,men_share_never_married_2022,men_share_divorced_2022,share_of_ethnic_russians_2024,men_longevity_2022,men_working_age_rural_2022,crimes_per_10_000_residents_2022,border_with_Ukraine,contract_payment_2023,square_km^2,Caucasus,casualties_mid_july_2025
Ïåðìñêèé êðàé,Perm Krai,10.6,6.8,20.9,53234.1,28683.5,0.379,6,793485,3.4,722604,1.05,0.202871645,2525149,0.24487014,0.10656003,89.4,64.9,181483,122.5,0,0,160236,0,3669
Ïðèìîðñêèé êðàé,Primorsky Krai,10.3,5.9,18.6,63588.6,42347.7,0.376,5.9,860583.8,3.3,571361,1.15,0.247995777,1841961,0.24983708,0.124990949,94.4,64.36,124175,137.4,0,300000,164673,0,1986
Ïñêîâñêàÿ îáëàñòü,Pskov Oblast,13.1,6.5,25,38966,49713.6,0.358,5.3,431917.3,4,173774,0.97,0.231204164,596899,0.26292337,0.134424133,95.8,63.07,52656,107.4,0,200000,55399,0,717
Ðåñïóáëèêà Àäûãåÿ,Adygea,12.3,9.5,16.4,40230.6,20235.2,0.397,6.5,384553.9,7.1,147331,0.93,0.268626669,498285,0.245342049,0.114534904,64.4,69.01,75485,72.2,0,100000,7792,1,266
Ðåñïóáëèêà Àëòàé,Altai Republic,18,8,29.6,43974,19399.3,0.363,5.5,425131.5,9.8,58616,1.05,0.225222735,210808,0.189382586,0.095472296,53.7,62.51,40314,161.6,0,100000,92903,0,563
Ðåñïóáëèêà Áàøêîðòîñòàí,Bashkortostan,10,4.9,20.5,49459.7,22378.8,0.377,5.9,542785.4,3.4,1223019,0.93,0.227349955,4091621,0.252247755,0.116964002,37.5,67.76,472447,96.2,0,400000,142947,0,5765
Ðåñïóáëèêà Áóðÿòèÿ,Buryatia,17.7,10.6,24,53495.3,44488.7,0.368,5.6,458129.6,7.4,282929,0.99,0.256483098,977951,0.257136116,0.098935147,64,62.95,116998,156,0,200000,351334,0,2981
Ðåñïóáëèêà Äàãåñòàí,Dagestan,12.7,6.6,17.3,35082.3,19052.5,0.387,6.2,274191,12.2,1008402,0.96,0.203038247,3186902,0.204040996,0.052590588,3.3,75.32,535266,36.6,0,100000,50270,1,1588
Ðåñïóáëèêà Èíãóøåòèÿ,Ingushetia,26.8,1,36.7,32800.8,27529.9,0.34,4.9,162797,30.1,164380,0.81,0.189997201,511316,0.399347967,0.053615684,0.7,76.26,72873,32.9,0,400000,3123,1,158
Ðåñïóáëèêà Êàëìûêèÿ,Kalmykia,20.6,23.3,30.3,36349.2,25068.3,0.315,4.3,451203.8,8.1,80142,0.95,0.313194077,266432,0.314880118,0.115809664,25.7,68.23,46073,79.7,0,120000,74731,0,312
Ðåñïóáëèêà Êàðåëèÿ,Karelia,11.1,6.7,27.7,56458.4,39754,0.35,5.1,740746.1,5.8,151836,1.06,0.231280334,532384,0.241249439,0.121980927,86.4,63.1,32618,150.1,0,100000,180520,0,812
Ðåñïóáëèêà Êîìè,Komi Republic,11.7,4.9,25.9,68790.1,40736.8,0.382,6,1330279.7,6.6,222128,1.04,0.244000644,734363,0.255261863,0.114185425,69.7,64.4,50144,137.4,0,150000,416774,0,1142
Ðåñïóáëèêà Êðûì,Crimea Republic,14.2,9.2,26.2,41986.1,36699.3,0.326,4.5,339121.3,5,559671,0.98,0.270396695,1931091,0.238750518,0.12001877,73,65.31,279732,85.3,1,200000,26081,0,1015
Ðåñïóáëèêà Ìàðèé Ýë,Mari El,15.4,5.3,27.1,40712.9,22199.5,0.346,5,374801.1,3.6,196860,0.86,0.214469255,676351,0.257541017,0.105236676,52.5,65.72,67346,88.6,0,100000,23375,0,932
Ðåñïóáëèêà Ìîðäîâèÿ,Mordovia,14.1,10,26.2,39537.9,36104.6,0.357,5.3,436513.9,3.6,239546,0.85,0.28324407,781440,0.250028134,0.117783666,54.1,67.45,91885,80.8,0,0,26128,0,607
Ðåñïóáëèêà Ñàõà (ßêóòèÿ),Sakha,15.2,7.9,19.2,96728.3,30830.4,0.406,6.9,2013920.6,6.6,313130,1.31,0.260126964,997833,0.284316767,0.087807755,32.6,67.67,96955,97.3,0,150000,3083523,0,1366
Ðåñïóáëèêà Ñåâåðíàÿ Îñåòèÿ - Àëàíèÿ,North OssetiaAlania,12.3,9.5,24.5,36359.9,24299.9,0.355,5.2,323803.4,12,203746,0.89,0.32911502,685393,0.374177262,0.091537112,18.9,69.67,76913,89.3,0,100000,7987,1,869
Ðåñïóáëèêà Òàòàðñòàí,Tatarstan,5,6.3,15.2,52274.1,27975.2,0.378,5.9,1035953.2,2.3,1185297,0.9,0.29908954,4000084,0.247153499,0.110769376,40.3,69.78,291856,102.1,0,305000,67847,0,5439
Ðåñïóáëèêà Òûâà,Tuva,25.9,8.1,35.2,51781.7,25897.7,0.372,5.7,320446,9.6,91897,0.95,0.191781521,336251,0.261517632,0.053172059,10.1,61.41,41803,153.1,0,100000,168604,0,1228
Ðåñïóáëèêà Õàêàñèÿ,Khakassia,16.9,8.3,25.9,54522.3,26106.3,0.333,4.7,650563.3,3.3,149370,0.99,0.208996819,532988,0.207765421,0.111278349,82.1,65.2,48861,138,0,50000,61569,0,804
